"Código Plan",Plan,Cohorte,Sede,RUN,DV,Nombres,"Apellido Paterno","Apellido Materno","Número de alumno","Periodo Asignatura","Código Asignatura",Asignatura,Convocatoria,Calificación,Nota
HP1,"Magia PLAN 2003",1983-01,Hogwarts,18472390,7,ORLAND,OYANADER,ARANCIBIA,478781,1986-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1986-01,Hogwarts,14521962,8,YANARA,MAZUELA,OLATE,558718,1986-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1986-01,Hogwarts,5321434,8,JISVEL,GALAN,ANTEZANA,568779,1988-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1988-01,Hogwarts,19578616,2,JARIEL,AVILA,VILO,429642,1988-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1988-01,Hogwarts,15325048,6,EXEQUIEL,ECK,RIGUERO,596787,1991-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1988-01,Hogwarts,19370570,4,DARY,PIMENTEL,AZAGRA,567800,1991-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1988-01,Hogwarts,14303390,2,MARION,CELIS,BOWN,417739,1991-01,GH170,"ADIVINACION  I",MAR,SD,
HP1,"Magia PLAN 2003",1988-01,Hogwarts,14303390,2,MARION,CELIS,BOWN,417739,1991-01,GH170,"ADIVINACION  I",DIC,SD,
HW1,"Magia NOCTURNA PLAN 2003",1988-01,Hogwarts,14303390,2,MARION,CELIS,BOWN,417739,1991-01,GH170,"ADIVINACION  I",DIC,SD,
HW1,"Magia NOCTURNA PLAN 2003",1988-01,Hogwarts,14303390,2,MARION,CELIS,BOWN,417739,1991-01,GH170,"ADIVINACION  I",MAR,SD,
HP1,"Magia PLAN 2003",1989-01,Hogwarts,9356329,4,ARACE,MICHEA,BUCAREY,642646,1990-01,GH170,"ADIVINACION  I",DIC,CV,
HP1,"Magia PLAN 2003",1989-01,Hogwarts,4307540,9,INGEBORG,NARVAEZ,MORAN,483786,1992-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1989-01,Hogwarts,13887491,1,ARACE,MAGALLANES,ZÚÑIGA,624797,1991-01,GH170,"ADIVINACION  I",DIC,SD,
HP1,"Magia PLAN 2003",1989-01,Hogwarts,24984453,K,CELSO,CASTILLA,ANTIHUENO,464815,1992-01,GH170,"ADIVINACION  I",DIC,SD,
