RUN;Nombre;Apellido P;telefono;email personal;email  institucional;DEDICACIï¿½N;CONTRATO;DIURNO;VESPERTINO;SEDE;CARRERA;GRADO ACADï¿½MICO;JERARQUï¿½A ;CARGO;ESTAMENTO
;;;;;;10;HONORARIO;;vespertino;;;0;;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;;Director (a) Centro de Sol. Colab.de C;Acadï¿½mico
19156759;;;;;;40;FULL TIME;;;;;;;Secretaria (o);Administrativo
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;;;;;PROFESOR TITULARREGULAR;;Acadï¿½mico Investigador;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;;;;LICENCIATURA;PROFESOR TITULAR DOCENTE;;Acadï¿½mico
;;;;;;20;FULL TIME;diurno;;;;MAGISTER;;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;ASISTENTE REGULAR;;
;;;;;;;HONORARIO;diurno;;;;DOCTORA;ASOCIADA DOCENTE;;
;;;;;;10;HONORARIO;;vespertino;;;MAGISTER;SIN JERARQUIZAR;;Acadï¿½mico
;;;;;;10;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR ASOCIADO DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER;PROFESOR ASISTENTE DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;
21423313;Sï¿½ptima;Vector;789012355;septima.vector@yeeha.com;septima.vector@lamejor.com;;FULL TIME;diurno;vespertino;HOGWARTS;MAGIA;DOCTOR;ASISTENTE DOCENTE;Director (a) Formaciï¿½n Cont. y Postgra;
17241044;Voldemort;Seï¿½orOscuro;234567902;voldemort.senoroscuros.elinnombrable@gmall.com;voldemort.senoroscuros.elinnombrable@lamejor.com;-1;FULL TIME;diurno;;HOGWARTS;MAGIA;MAGISTER;ASOCIADO REGULAR;Profesor por Jornada;
;;;;;;20;;;;;;;;Administrativo;Administrativo
;;;;;;40;;;;;;;;Tï¿½cnico Contable;Administrativo
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;INSTRUCTOR DOCENTE;;
23677609;Daphne;Greengrass;345678904;daphne.greengrass@michea.com;daphne.greengrass@lamejor;;HONORARIO;diurno;;BEAUXBATON;;MAGISTER;INSTRUCTOR DOCENTE;;
24017462;Steve; Kloves;;;;;;;;;;;;;
12684784-K;;;;;;40;;;;;;;;Secretario (a) de Direcciï¿½n;Administrativo
;;;;;;;HONORARIO;;;;;;INSTRUCTOR DOCENTE;;
;;;;;;;HONORARIO;diurno;;;;MAGISTER ;INSTRUCTORA DOCENTE;;
;araya MARIN,  OLGA sonia;;;;;40;;;;;;;;Asistente;Administrativo
;;;;;;;HONORARIO;diurno;;;;LICENCIATURA;ASISTENTE DOCENTE;;
;;;;;;40;FULL TIME;;;;;0;TITULAR DOCENTE;Acadï¿½mico Investigador;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;10;HONORARIO;diurno;;;;MAGISTER;INSTRUCTOR DOCENTE;;Acadï¿½mico
;;;;;;40;FULL TIME;diurno;;;;DOCTOR;ASOCIADA REGULAR;Acadï¿½mico Investigador;Acadï¿½mico
;;;;;;;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;;;;;;COMISIï¿½N SUPERIOR ASOCIADO REGULAR;;Acadï¿½mico
;;;;;;;HONORARIO;;vespertino;;;MAGISTER;ASISTENTE DOCENTE;;
;;;;;;40;HONORARIO;diurno;vespertino;;;MAGISTER;PROFESOR TITULAR DOCENTE;;Acadï¿½mico
;;;;;;;HONORARIO;diurno;;;;MAGISTER;SIN JERARQUIZAR;;
